"Code","Latitude","Longitude","Cell","Station","Date_in","Date_out","Année","Collecteur","Code site","Nom du site","Passive/active","Sorter","Number of specimens","Notes","Code ID","ID","IDENTIFIER","NUMBER OF SPECIMEN","MALE","FEMALE","SEX INDETERMINATE","IDENTIFICATION NOTE","DATE OF IDENTIFICATION","IDENTIFICATION METHOD","QR code","Recorder?","Unique","Source","Date","RightCell"
"69_1_310723_HA + JW_a_ch.il","49.76819","141502",69,"1","NA","310723",2023,"Hinatea Ariey + Julian Wittische",NA,NA,"a",NA,NA,"a","ch.il","Cheilosia illustrata","Hinatea Ariey",1,0,1,NA,NA,"040925","morphological","MNHNL178633",NA,"Unique","Hand netting",2023-07-31,NA
"83_1_260723_OK_a_er.te","497448846","64343700",83,"1","NA","260723",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","er.te","Eristalis tenax","Hinatea Ariey",4,1,3,NA,NA,"170925","morphological","MNHNL175451",NA,"Unique","Hand netting",2023-07-26,NA
"29_3_200723_EP_a_eu.co","49944596","6064349",29,"3","N/A","200723",2023,"Eléonore Pottier",NA,NA,"a",NA,NA,NA,"eu.co","Eupeodes corollae","Hans Georg Rudzinski",1,0,1,NA,NA,"2024",NA,"MNHNL168197",NA,"Unique","Hand netting",2023-07-20,NA
"29_3_200723_EP_a_sy.ri","49944596","6064349",29,"3","N/A","200723",2023,"Eléonore Pottier",NA,NA,"a",NA,NA,NA,"sy.ri","Syrphus ribesii","Hans Georg Rudzinski",1,1,0,NA,NA,"2024",NA,"MNHNL168198",NA,"Unique","Hand netting",2023-07-20,NA
"101_2_060623_CG_a_eu.co","49.6251","599881",101,"2","N/A","060623",2023,"Caroline Grounds",NA,NA,"a",NA,NA,NA,"eu.co","Eupeodes corollae","Hans Georg Rudzinski",1,1,0,NA,NA,"2024",NA,"MNHNL168701",NA,"Unique","Hand netting",2023-06-06,NA
"69_1_310723_AL+SL_a_me.sc","49.76819","141502",69,"1","N/A","310723",2023,"Amanda Luttringer + Stephanie Lippert",NA,NA,"a",NA,NA,NA,"me.sc","Melanostoma scalare","Hans Georg Rudzinski",1,1,0,NA,NA,"2024",NA,"MNHNL168711",NA,"Unique","Hand netting",2023-07-31,NA
"69_1_310723_AL+SL_a_sy.vi","49.76819","141502",69,"1","N/A","310723",2023,"Amanda Luttringer + Stephanie Lippert",NA,NA,"a",NA,NA,NA,"sy.vi","Syrphus vitripennis","Hans Georg Rudzinski",1,1,0,NA,NA,"2024",NA,"MNHNL168712",NA,"Unique","Hand netting",2023-07-31,NA
"101_2_060623_CG_a_pil.vid","49.6251","599881",101,"2","N/A","060623",2023,"Caroline Grounds",NA,NA,"a",NA,NA,NA,"pil.vid","Pipizella viduata","Hans Georg Rudzinski",1,0,1,NA,NA,"2024",NA,"MNHNL168736",NA,"Unique","Hand netting",2023-06-06,NA
"69_1_310723_AL+SL_a_ch.ba","49.76819","141502",69,"1","N/A","310723",2023,"Amanda Luttringer + Stephanie Lippert",NA,NA,"a",NA,NA,NA,"ch.ba","Cheilosia barbata","Hans Georg Rudzinski",1,0,1,NA,NA,"2024",NA,"MNHNL168762",NA,"Unique","Hand netting",2023-07-31,NA
"64_1_060623_AL_a_sc.di","128825","5.8950163",64,"1","N/A","060623",2023,"Amanda Luttringer",NA,NA,"a",NA,NA,NA,"sc.di","Scaeva dignota","Hans Georg Rudzinski",1,1,NA,NA,NA,"45689",NA,"MNHNL169478",NA,"Unique","Hand netting",2023-06-06,NA
"20_3_130623_AL+SL_a_eu.co","49983690","5904866",20,"3","N/A","130623",2023,"Amanda Luttringer + Stephanie Lippert",NA,NA,"a",NA,NA,NA,"eu.co","Eupeodes corollae","Hans Georg Rudzinski",2,NA,2,NA,NA,"45689",NA,"MNHNL169578",NA,"Unique","Hand netting",2023-06-13,NA
"109_1_060623_OK_a_eu.lu","49.56809","247423",109,"1","N/A","060623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,NA,"eu.lu","Eupeodes luniger","Hans Georg Rudzinski",1,NA,1,NA,NA,"45689",NA,"MNHNL173296",NA,"Unique","Hand netting",2023-06-06,NA
"109_1_060623_OK_a_ch.vu","49.56809","247423",109,"1","N/A","060623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,NA,"ch.vu","Cheilosia vulpina","Hans Georg Rudzinski",1,NA,1,NA,NA,"45689",NA,"MNHNL173297",NA,"Unique","Hand netting",2023-06-06,NA
"69_1_100823_HA,AL_a_me.sc","49.7645","134197",69,"1","NA","100823",2023,"Hinatea Ariey, Amanda Luttringer",NA,NA,"a",NA,NA,NA,"me.sc","Melanostoma scalare","Hans Georg Rudzinski",1,NA,1,NA,NA,"45809",NA,"MNHNL175365",NA,"Unique","Hand netting",2023-08-10,NA
"69_1_100823_HA,AL_a_me.me","49.7645","134197",69,"1","NA","100823",2023,"Hinatea Ariey, Amanda Luttringer",NA,NA,"a",NA,NA,NA,"me.me","Melanostoma mellinum","Hans Georg Rudzinski",1,NA,1,NA,NA,"45809",NA,"MNHNL175366",NA,"Unique","Hand netting",2023-08-10,NA
"109_1_060623_OK_a_er.pe","49.56809","247423",109,"1","na","060623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,NA,"er.pe","Eristalis pertinax","Hans-Georg Rudzinski",1,0,1,NA,NA,"45931",NA,NA,NA,"Unique","Hand netting",2023-06-06,NA
"102_1_180523_CG_a","49.62675","836194",102,"1",NA,"180523",2023,"Caroline Grounds",NA,NA,"a",NA,NA,NA,"eu.co","Eupeodes corollae","Hans-Georg Rudzinski",1,1,0,NA,NA,"45962",NA,"MNHNL187678",NA,"Unique","Hand netting",2023-05-18,NA
"102_1_180523_CG_a","49.62675","836194",102,"1",NA,"180523",2023,"Caroline Grounds",NA,NA,"a",NA,NA,NA,"pl.am","Platycheirus ambiguus","Hans-Georg Rudzinski",1,0,1,NA,NA,"45962",NA,"MNHNL187693",NA,"Unique","Hand netting",2023-05-18,NA
